"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"14D","1414 DEGREES LIMITED","2018-09-12","Capital Goods",21032598
"1AD","ADALTA LIMITED","2016-08-22","Pharmaceuticals, Biotechnology & Life Sciences",22311342
"1AG","ALTERRA LIMITED","2008-05-16","Commercial & Professional Services",11388827
"1ST","1ST GROUP LIMITED","2015-06-09","Health Care Equipment & Services",8067721
"1VG","VICTORY GOLDFIELDS LIMITED","2021-07-22","Materials",14580674
"29M","29METALS LIMITED","2021-07-02","Materials",1153092000
"2BE","TUBI LIMITED","2019-06-14","Energy","N/A"
"360","LIFE360 INC.","2019-05-10","Software & Services",1489527656
"3DA","AMAERO INTERNATIONAL LTD","2019-12-06","Capital Goods",105049487
"3DP","POINTERRA LIMITED","2008-03-27","Software & Services",257566358
"3MF","3D METALFORGE LIMITED","2021-03-02","Commercial & Professional Services",28517893
"3PL","3P LEARNING LIMITED..","2014-07-09","Consumer Services",344222792
"4DS","4DS MEMORY LIMITED","2010-12-09","Semiconductors & Semiconductor Equipment",184932782
"4DX","4DMEDICAL LIMITED","2020-08-07","Health Care Equipment & Services",450572511
"5GG","PENTANET LIMITED","2021-01-29","Telecommunication Services",169508685
"5GN","5G NETWORKS LIMITED","2017-11-17","Telecommunication Services",125041402
"88E","88 ENERGY LIMITED","2000-01-20","Energy",433425524
"8CO","8COMMON LIMITED","2014-08-27","Software & Services",37665159
"8EC","8IP EMERGING COMPANIES LIMITED","2015-12-01","Not Applic","N/A"
"8IH","8I HOLDINGS LTD","2014-12-17","Diversified Financials",86822182
"8VI","8VI HOLDINGS LIMITED","2015-12-16","Consumer Services",214026181
"92E","92 ENERGY LIMITED","2021-04-15","Energy",19193650
"99L","99 LOYALTY LIMITED.","2013-10-08","Software & Services",75379380
"9SP","9 SPOKES INTERNATIONAL LIMITED","2016-06-09","Software & Services",20160053
"A1G","AFRICAN GOLD LTD.","2019-02-14","Materials",16453412
"A1M","AIC MINES LIMITED","1993-11-04","Materials","N/A"
"A2B","A2B AUSTRALIA LIMITED","1999-12-14","Transportation",154753428
"A2M","THE A2 MILK COMPANY LIMITED","2015-03-31","Food, Beverage & Tobacco",4260855934
"A3D","AURORA LABS LIMITED","2016-08-16","Capital Goods",21405506
"A4N","ALPHA HPA LIMITED","2007-10-22","Materials",400103910
"A8G","AUSTRALASIAN GOLD LIMITED","2021-05-13","Materials",8885163
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","2001-08-10","Food, Beverage & Tobacco",831818111
"AAJ","ARUMA RESOURCES LIMITED","2010-07-23","Materials",9112689
"AAP","AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","2004-01-07","Food, Beverage & Tobacco",8541166
"AAR","ANGLO AUSTRALIAN RESOURCES NL","1986-11-13","Materials",48290518
"AAU","ANTILLES GOLD LIMITED","1993-11-25","Materials",19433921
"ABA","AUSWIDE BANK LTD","1994-09-19","Banks",293234910
"ABB","AUSSIE BROADBAND LIMITED","2020-10-16","Class Pend",789911108
"ABC","ADBRI LIMITED","1962-05-31","Materials",2218933687
"ABL","ABILENE OIL AND GAS LIMITED","1974-01-01","Energy","N/A"
"ABP","ABACUS PROPERTY GROUP","2002-11-14","Real Estate",2892363710
"ABR","AMERICAN PACIFIC BORATES LIMITED","2017-07-28","Materials",546280393
"ABV","ADVANCED BRAKING TECHNOLOGY LTD","2002-05-28","Automobiles & Components",12891058
"ABX","AUSTRALIAN BAUXITE LIMITED.","2009-12-24","Materials",21022496
"ABY","ADORE BEAUTY GROUP LIMITED","2020-10-23","Retailing",451797586
"AC8","AUSCANN GROUP HOLDINGS LTD","1989-05-03","Pharmaceuticals, Biotechnology & Life Sciences",41851975
"ACB","A-CAP ENERGY LIMITED","2006-05-19","Energy",53184977
"ACF","ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED","2008-06-27","Capital Goods",103535772
"ACL","AUSTRALIAN CLINICAL LABS LIMITED","2021-05-14","Health Care Equipment & Services",888069666
"ACP","AUDALIA RESOURCES LIMITED","2011-07-06","Materials",11766315
"ACQ","ACORN CAPITAL INVESTMENT FUND LIMITED","2014-05-01","Not Applic",109591898
"ACR","ACRUX LIMITED","2004-09-29","Pharmaceuticals, Biotechnology & Life Sciences",35413174
"ACS","ACCENT RESOURCES NL","2005-08-26","Materials",24233419
"ACU","ACUMENTIS GROUP LIMITED","2003-12-05","Real Estate",28675761
"ACW","ACTINOGEN MEDICAL LIMITED","2007-10-16","Pharmaceuticals, Biotechnology & Life Sciences",174358647
"AD1","AD1 HOLDINGS LIMITED","2016-06-23","Media & Entertainment",21760430
"AD8","AUDINATE GROUP LIMITED","2017-06-30","Technology Hardware & Equipment",760950743
"ADA","ADACEL TECHNOLOGIES LIMITED","1998-02-27","Software & Services",94556718
"ADD","ADAVALE RESOURCES LIMITED","1992-02-06","Energy",15261773
"ADH","ADAIRS LIMITED","2015-06-17","Retailing",669545217
"ADI","APN INDUSTRIA REIT","2013-12-03","Real Estate",775275394
"ADN","ANDROMEDA METALS LIMITED","1996-09-17","Materials",393768327
"ADO","ANTEOTECH LTD","2000-04-07","Pharmaceuticals, Biotechnology & Life Sciences",325114633
"ADR","ADHERIUM LIMITED","2015-08-26","Health Care Equipment & Services",31936289
"ADS","ADSLOT LTD.","1987-12-17","Software & Services",49550157
"ADT","ADRIATIC METALS PLC","2018-05-01","Materials",601152767
"ADV","ARDIDEN LTD","2005-10-25","Materials",30090959
"ADX","ADX ENERGY LTD","1987-01-29","Energy",17279064
"ADY","ADMIRALTY RESOURCES NL.","1983-12-01","Materials",18250108
"AE1","AERISON GROUP LTD","2021-07-12","Capital Goods",68835935
"AEE","AURA ENERGY LIMITED","2006-05-30","Energy","N/A"
"AEF","AUSTRALIAN ETHICAL INVESTMENT LIMITED","2002-12-17","Diversified Financials",1148596550
"AEG","ABSOLUTE EQUITY PERFORMANCE FUND LIMITED","2015-12-16","Not Applic",103147309
"AEI","AERIS ENVIRONMENTAL LTD","2000-09-12","Commercial & Professional Services",31697619
"AER","AEERIS LTD","2015-04-01","Media & Entertainment",8996079
"AEV","AVENIRA LIMITED","2006-10-10","Materials",6039970
"AFA","ASF GROUP LIMITED","1985-05-29","Diversified Financials",39636314
"AFG","AUSTRALIAN FINANCE GROUP LTD","2015-05-22","Banks",802004053
"AFI","AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","1962-06-30","Not Applic",10298663155
"AFL","AF LEGAL GROUP LTD","2003-09-19","Commercial & Professional Services",32152809
"AFP","AFT PHARMACEUTICALS LIMITED","2015-12-22","Pharmaceuticals, Biotechnology & Life Sciences",415575134
"AFR","AFRICAN ENERGY RESOURCES LIMITED","2007-04-18","Energy",25408293
"AFW","APPLYFLOW LIMITED","2010-11-30","Media & Entertainment",20609835
"AGC","AUSTRALIAN GOLD AND COPPER LTD","2021-01-20","Materials",12500000
"AGD","AUSTRAL GOLD LIMITED","1997-04-18","Materials",69293365
"AGE","ALLIGATOR ENERGY LIMITED","2011-02-03","Energy",108559373
"AGG","ANGLOGOLD ASHANTI LIMITED","1999-11-16","Materials",9113318999
"AGH","ALTHEA GROUP HOLDINGS LIMITED","2018-09-21","Pharmaceuticals, Biotechnology & Life Sciences",87416746
"AGI","AINSWORTH GAME TECHNOLOGY LIMITED","2001-12-17","Consumer Services",355317595
"AGJ","AGRICULTURAL LAND TRUST","2003-04-10","Real Estate","N/A"
"AGL","AGL ENERGY LIMITED.","2006-10-12","Utilities",4105792683
"AGN","ARGENICA THERAPEUTICS LIMITED","2021-06-11","Pharmaceuticals, Biotechnology & Life Sciences",19390646
"AGR","AGUIA RESOURCES LIMITED","2008-02-13","Materials",14025582
"AGS","ALLIANCE RESOURCES LIMITED","1994-10-19","Materials",33282741
"AGY","ARGOSY MINERALS LIMITED","1997-04-03","Materials",218797548
"AHC","AUSTCO HEALTHCARE LIMITED","2004-09-24","Health Care Equipment & Services",41207398
"AHF","AUSTRALIAN DAIRY NUTRITIONALS GROUP","2006-06-30","Food, Beverage & Tobacco",26590013
"AHI","ADVANCED HUMAN IMAGING LTD","2015-08-17","Software & Services",186212385
"AHK","ARK MINES LIMITED","2011-05-09","Materials","N/A"
"AHN","ATHENA RESOURCES LIMITED","2006-11-22","Materials","N/A"
"AHQ","ALLEGIANCE COAL LIMITED","2012-05-29","Materials",213717429
"AHX","APIAM ANIMAL HEALTH LIMITED","2015-12-15","Health Care Equipment & Services",125041283
"AIA","AUCKLAND INTERNATIONAL AIRPORT LIMITED","1999-02-22","Transportation",10219504891
"AIB","AURORA GLOBAL INCOME TRUST","2007-12-24","Not Applic",766347
"AII","ALMONTY INDUSTRIES INC.","2021-08-02","Materials",203550463
"AIM","AI-MEDIA TECHNOLOGIES LIMITED","2020-09-15","Commercial & Professional Services",209439498
